Date,Close
4/12/2019,121.83
4/15/2019,121.6
4/16/2019,120.51
4/17/2019,120.28
4/18/2019,120.37
4/22/2019,120.37
4/23/2019,120.12
4/24/2019,120.47
4/25/2019,120.57
4/26/2019,121.37
4/29/2019,120.83
4/30/2019,121.2
5/1/2019,120.4
5/2/2019,119.94
5/3/2019,120.65
5/6/2019,120.81
5/7/2019,121.21
5/8/2019,120.91
5/9/2019,121.2
5/10/2019,121.43
5/13/2019,122.67
5/14/2019,122.46
5/15/2019,122.39
5/16/2019,121.51
5/17/2019,120.65
5/20/2019,120.64
5/21/2019,120.36
5/22/2019,120.24
5/23/2019,121.17
5/24/2019,121.3
5/28/2019,120.83
5/29/2019,120.87
5/30/2019,121.69
5/31/2019,123.33
6/3/2019,125.11
6/4/2019,125.15
6/5/2019,125.47
6/6/2019,125.88
6/7/2019,126.59
6/10/2019,125.33
6/11/2019,125.18
6/12/2019,125.83
6/13/2019,126.6
6/14/2019,126.56
6/17/2019,126.48
6/18/2019,127.12
6/19/2019,127.89
6/20/2019,131.11
6/21/2019,131.98
6/24/2019,133.94
6/25/2019,134.2
6/26/2019,132.97
6/27/2019,132.84
6/28/2019,133.2
7/1/2019,130.62
7/2/2019,133.41
7/3/2019,133.63
7/5/2019,132.14
7/8/2019,131.29
7/9/2019,131.75
7/10/2019,133.83
7/11/2019,132.7
7/12/2019,133.53
7/15/2019,133.53
7/16/2019,132.4
7/17/2019,134.58
7/18/2019,136.48
7/19/2019,134.47
7/22/2019,134.45
7/23/2019,133.69
7/24/2019,134.37
7/25/2019,133.42
7/26/2019,133.64
7/29/2019,134.53
7/30/2019,134.98
7/31/2019,133.21
8/1/2019,136.41
8/2/2019,135.89
8/5/2019,137.79
8/6/2019,138.91
8/7/2019,141.02
8/8/2019,141.73
8/9/2019,141.26
8/12/2019,142.63
8/13/2019,141.78
8/14/2019,142.75
8/15/2019,143.7
8/16/2019,142.78
8/19/2019,141.11
8/20/2019,142.21
8/21/2019,141.76
8/22/2019,141.4
8/23/2019,144.17
8/26/2019,144.19
8/27/2019,145.57
8/28/2019,145.16
8/29/2019,144.12
8/30/2019,143.75
9/3/2019,145.75
9/4/2019,146.66
9/5/2019,143.14
9/6/2019,141.92
9/9/2019,141.39
9/10/2019,140.18
9/11/2019,141.03
9/12/2019,141.32
9/13/2019,140.15
9/16/2019,141.32
9/17/2019,141.6
9/18/2019,140.71
9/19/2019,141.28
9/20/2019,142.95
9/23/2019,143.75
9/24/2019,144.51
9/25/2019,141.83
9/26/2019,141.79
9/27/2019,141.06
9/30/2019,138.87
10/1/2019,139.63
10/2/2019,141.26
10/3/2019,141.9
10/4/2019,141.9
10/7/2019,140.69
10/8/2019,141.92
10/9/2019,142.05
10/10/2019,140.81
10/11/2019,140.03
10/14/2019,140.59
10/15/2019,139.61
10/16/2019,140.41
10/17/2019,140.61
10/18/2019,140.46
10/21/2019,139.79
10/22/2019,140.2
10/23/2019,140.53
10/24/2019,141.53
10/25/2019,141.86
10/28/2019,140.64
10/29/2019,140.25
10/30/2019,141.02
10/31/2019,142.43
11/1/2019,142.56
11/4/2019,142.15
11/5/2019,139.85
11/6/2019,140.45
11/7/2019,138.27
11/8/2019,137.39
11/11/2019,137.06
11/12/2019,137.43
11/13/2019,137.98
11/14/2019,138.56
11/15/2019,138.21
11/18/2019,138.62
11/19/2019,138.69
11/20/2019,138.76
11/21/2019,138
11/22/2019,137.74
11/25/2019,137.08
11/26/2019,137.74
11/27/2019,137.01
11/29/2019,137.86
12/2/2019,137.79
12/3/2019,139.11
12/4/2019,138.92
12/5/2019,139
12/6/2019,137.62
12/9/2019,137.58
12/10/2019,137.97
12/11/2019,138.92
12/12/2019,138.43
12/13/2019,139.05
12/16/2019,139.04
12/17/2019,139.01
12/18/2019,139.02
12/19/2019,139.38
12/20/2019,139.52
12/23/2019,139.95
12/24/2019,141.27
12/26/2019,142.38
12/27/2019,142.33
12/30/2019,142.63
12/31/2019,142.9
1/2/2020,143.95
1/3/2020,145.86
1/6/2020,147.39
1/7/2020,147.97
1/8/2020,146.86
1/9/2020,146.03
1/10/2020,146.91
1/13/2020,145.82
1/14/2020,145.69
1/15/2020,146.54
1/16/2020,146.31
1/17/2020,146.58
1/21/2020,146.74
1/22/2020,146.79
1/23/2020,147.12
1/24/2020,147.98
1/27/2020,148.99
1/28/2020,147.66
1/29/2020,148.46
1/30/2020,148.47
1/31/2020,149.33
2/3/2020,148.36
2/4/2020,146.43
2/5/2020,146.61
2/6/2020,147.4
2/7/2020,147.79
2/10/2020,148.17
2/11/2020,147.66
2/12/2020,147.54
2/13/2020,148.38
2/14/2020,149
2/18/2020,150.91
2/19/2020,151.79
2/20/2020,152.41
2/21/2020,154.7
2/24/2020,156.09
2/25/2020,153.3
2/26/2020,153.97
2/27/2020,154
2/28/2020,148.38
3/2/2020,149.2
3/3/2020,153.89
3/4/2020,154.16
3/5/2020,157.49
3/6/2020,157.55
3/9/2020,157.81
3/10/2020,154.48
3/11/2020,153.93
3/12/2020,147.79
3/13/2020,143.28
3/16/2020,141.64
3/17/2020,143.56
3/18/2020,140.7
3/19/2020,138.04
3/20/2020,140.11
3/23/2020,146.3
3/24/2020,153.4
3/25/2020,151.3
3/26/2020,153.24
3/27/2020,152.25
3/30/2020,152.92
3/31/2020,148.05
4/1/2020,149.45
4/2/2020,151.9
4/3/2020,152.65
4/6/2020,156.88
4/7/2020,156.04
4/8/2020,154.65
4/9/2020,158.69
